*** TrackerPO PO General Search Export *** REPORT produced on: 2025-08-20 19:13:48 (GMT),,,,,,,,,,,,,
*** Search Selection:  Where ICS_TrackerPO_POMain.JobNo like '5772%',,,,,,,,,,,,,,
Job No.,PO Number,Generation Date,Requestor,Sub Cost Code,Def. Contr./Extra,Vendor,WO/PMO,Cost Center,Sub CC,SubSub CC,Est. PO Value,PO Status, PO Comments,Invoice/Ticket,Inv. Date,Contract/Extra,Line Item Value,FTO Sent Date,FTO Ret. Date, BB Date,Material Description,Comments,
5772,5772.1001 (Active),2025-03-19,"Fleming, Katelynn",0000,Contract,"Ramsower","",3000,0000,,50643.00,Active,"Dow Beaumont Aniline - QUOTATION NUMBER: #022125 - Rev.1 Revised Pricing Increase",90469,2025-04-17,Contract,5850.00,0000-00-00,2025-04-22,0000-00-00,"","",
5772,5772.1001 (Active),2025-03-19,"Fleming, Katelynn",0000,Contract,"Ramsower","",3000,0000,,50643.00,Active,"Dow Beaumont Aniline - QUOTATION NUMBER: #022125 - Rev.1 Revised Pricing Increase",90500,2025-06-10,Contract,44793.00,2025-06-10,2025-06-10,0000-00-00,"","",
5772,5772.1002 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"Hanger & Pipe Accessories","",3000,0000,,2873.00,Active,"Dow Beaumont Aniline - Pipe Supports",,,,,,,,"","",
5772,5772.1003 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"DNOW","",3000,0000,,45690.91,Active,"Dow Beaumont Aniline - Quotation 24566944",917488334,2025-03-31,Contract,2633.64,0000-00-00,2025-04-07,0000-00-00,"","",
5772,5772.1003 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"DNOW","",3000,0000,,45690.91,Active,"Dow Beaumont Aniline - Quotation 24566944",917492337,2025-04-02,Contract,5364.38,0000-00-00,2025-04-07,0000-00-00,"","",
5772,5772.1003 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"DNOW","",3000,0000,,45690.91,Active,"Dow Beaumont Aniline - Quotation 24566944",917493183,2025-04-03,Contract,314.40,0000-00-00,2025-04-07,0000-00-00,"","",
5772,5772.1003 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"DNOW","",3000,0000,,45690.91,Active,"Dow Beaumont Aniline - Quotation 24566944",917496024,2025-04-04,Contract,2211.00,0000-00-00,2025-04-07,0000-00-00,"","",
5772,5772.1003 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"DNOW","",3000,0000,,45690.91,Active,"Dow Beaumont Aniline - Quotation 24566944",917496026,2025-04-04,Contract,41.12,0000-00-00,2025-04-07,0000-00-00,"","",
5772,5772.1003 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"DNOW","",3000,0000,,45690.91,Active,"Dow Beaumont Aniline - Quotation 24566944",917496027,2025-04-04,Contract,1378.98,0000-00-00,2025-04-07,0000-00-00,"","",
5772,5772.1003 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"DNOW","",3000,0000,,45690.91,Active,"Dow Beaumont Aniline - Quotation 24566944",917496028,2025-04-04,Contract,5367.12,0000-00-00,2025-04-07,0000-00-00,"","",
5772,5772.1003 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"DNOW","",3000,0000,,45690.91,Active,"Dow Beaumont Aniline - Quotation 24566944",917496029,2025-04-04,Contract,65.01,0000-00-00,2025-04-07,0000-00-00,"","",
5772,5772.1003 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"DNOW","",3000,0000,,45690.91,Active,"Dow Beaumont Aniline - Quotation 24566944",917496045,2025-04-04,Contract,1409.09,0000-00-00,2025-04-07,0000-00-00,"","",
5772,5772.1003 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"DNOW","",3000,0000,,45690.91,Active,"Dow Beaumont Aniline - Quotation 24566944",917496753,2025-04-05,Contract,128.89,0000-00-00,2025-04-07,0000-00-00,"","",
5772,5772.1003 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"DNOW","",3000,0000,,45690.91,Active,"Dow Beaumont Aniline - Quotation 24566944",917496889,2025-04-06,Contract,1039.01,0000-00-00,2025-04-07,0000-00-00,"","",
5772,5772.1003 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"DNOW","",3000,0000,,45690.91,Active,"Dow Beaumont Aniline - Quotation 24566944",917500434,2025-04-09,Contract,333.20,0000-00-00,2025-04-14,0000-00-00,"","",
5772,5772.1003 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"DNOW","",3000,0000,,45690.91,Active,"Dow Beaumont Aniline - Quotation 24566944",917500522,2025-04-09,Contract,7451.93,0000-00-00,2025-04-10,0000-00-00,"","",
5772,5772.1003 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"DNOW","",3000,0000,,45690.91,Active,"Dow Beaumont Aniline - Quotation 24566944",917500523,2025-04-09,Contract,202.77,0000-00-00,2025-04-10,0000-00-00,"","",
5772,5772.1003 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"DNOW","",3000,0000,,45690.91,Active,"Dow Beaumont Aniline - Quotation 24566944",917501323,2025-04-09,Contract,11652.00,0000-00-00,2025-04-14,0000-00-00,"","",
5772,5772.1003 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"DNOW","",3000,0000,,45690.91,Active,"Dow Beaumont Aniline - Quotation 24566944",917504148,2025-04-11,Contract,1817.42,0000-00-00,2025-04-14,0000-00-00,"","",
5772,5772.1003 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"DNOW","",3000,0000,,45690.91,Active,"Dow Beaumont Aniline - Quotation 24566944",917504150,2025-04-11,Contract,640.42,0000-00-00,2025-04-14,0000-00-00,"","",
5772,5772.1003 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"DNOW","",3000,0000,,45690.91,Active,"Dow Beaumont Aniline - Quotation 24566944",917519016,2025-04-23,Contract,11467.27,0000-00-00,2025-05-05,0000-00-00,"","",
